name, hair, feathers, eggs, milk, airborne, aquatic, predator, toothed, backbone, breathes, venomous, fins, legs, tail, domestic, catsize, type
rhea,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,true,2
scorpion,false,false,false,false,false,false,true,false,false,true,true,false,8,true,false,false,7
seahorse,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,false,4
seal,true,false,false,true,false,true,true,true,true,true,false,true,false,false,false,true,true
sealion,true,false,false,true,false,true,true,true,true,true,false,true,2,true,false,true,true
seasnake,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,3
seawasp,false,false,true,false,false,true,true,false,false,false,true,false,false,false,false,false,7
skimmer,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2
skua,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2
slowworm,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,false,3
slug,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,7
sole,false,false,true,false,false,true,false,true,true,false,false,true,false,true,false,false,4
sparrow,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
squirrel,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,false,true
starfish,false,false,true,false,false,true,true,false,false,false,false,false,5,false,false,false,7
stingray,false,false,true,false,false,true,true,true,true,false,true,true,false,true,false,true,4
swan,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,true,2
termite,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,6
toad,false,false,true,false,false,true,false,true,true,true,false,false,4,false,false,false,5
tortoise,false,false,true,false,false,false,false,false,true,true,false,false,4,true,false,true,3
tuatara,false,false,true,false,false,false,true,true,true,true,false,false,4,true,false,false,3
tuna,false,false,true,false,false,true,true,true,true,false,false,true,false,true,false,true,4
vampire,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,true
vole,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,true
vulture,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,true,2
wallaby,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,true,true
wasp,true,false,true,false,true,false,false,false,false,true,true,false,6,false,false,false,6
wolf,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,true
worm,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,7
wren,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
